Histogram data for B:
106: 1569 -> 3072
107: 1627 -> 3024
108: 1782 -> 3414
109: 1668 -> 3076
110: 1643 -> 3160
111: 1623 -> 3126
112: 1766 -> 3393
113: 1689 -> 3205
114: 1496 -> 2967
115: 1801 -> 3378
116: 1556 -> 3099
117: 1613 -> 3082
118: 1590 -> 3124
119: 1554 -> 3064
120: 1773 -> 3449
121: 1703 -> 1514
122: 1471 -> 1504
123: 1658 -> 1489
124: 1746 -> 1679
125: 1580 -> 1419
126: 1541 -> 1620
127: 1744 -> 1596
128: 1596 -> 1744
129: 1620 -> 1541
130: 1419 -> 1580
131: 1679 -> 1746
132: 1489 -> 1658
133: 1504 -> 1471
134: 1514 -> 1703
135: 1676 -> 0
136: 1510 -> 0
137: 1534 -> 0
138: 1469 -> 0
139: 1543 -> 0
140: 1577 -> 0
141: 1471 -> 0
142: 1516 -> 0
143: 1627 -> 0
144: 1503 -> 0
145: 1517 -> 0
146: 1408 -> 0
147: 1632 -> 0
148: 1397 -> 0
149: 1503 -> 0
150: 1456 -> 0
151: 1408 -> 0
152: 1582 -> 0
153: 1582 -> 0
154: 1402 -> 0
155: 1463 -> 0
156: 1542 -> 0
157: 1520 -> 0
158: 1507 -> 0
159: 1655 -> 0
160: 1532 -> 0
161: 1542 -> 0
162: 1377 -> 0
163: 1698 -> 0
164: 1467 -> 0
165: 1488 -> 0
166: 1534 -> 0
167: 1641 -> 0
168: 1563 -> 0
169: 1647 -> 0
170: 1459 -> 0
171: 1534 -> 0
172: 1629 -> 0
173: 1581 -> 0
174: 1636 -> 0
175: 1517 -> 0
176: 1898 -> 0
177: 1700 -> 0
178: 1479 -> 0
179: 1811 -> 0
180: 1550 -> 0
181: 1773 -> 0
182: 1826 -> 0
183: 1725 -> 0
184: 1977 -> 0
185: 2021 -> 0
186: 1886 -> 0
187: 2049 -> 0
188: 2194 -> 0
189: 2148 -> 0
190: 2191 -> 0
191: 2217 -> 0
192: 2644 -> 0
193: 2519 -> 0
194: 2136 -> 0
195: 2488 -> 0
196: 2059 -> 0
197: 2118 -> 0
198: 1870 -> 0
199: 1769 -> 0
200: 1427 -> 0
201: 1437 -> 0
202: 1117 -> 0
203: 1097 -> 0
204: 978 -> 0
205: 847 -> 0
206: 736 -> 0
207: 641 -> 0
208: 508 -> 0
209: 446 -> 0
210: 341 -> 0
211: 348 -> 0
212: 241 -> 0
213: 227 -> 0
214: 182 -> 0
215: 128 -> 0
216: 132 -> 0
217: 92 -> 0
218: 92 -> 0
219: 75 -> 0
220: 58 -> 0
221: 53 -> 0
222: 33 -> 0
223: 33 -> 0
224: 32 -> 0
225: 26 -> 0
226: 18 -> 0
227: 12 -> 0
228: 9 -> 0
229: 7 -> 0
230: 7 -> 0
231: 6 -> 0
232: 0 -> 0
233: 1 -> 0
234: 1 -> 0
235: 0 -> 0
236: 1 -> 0
237: 0 -> 0
238: 0 -> 0
239: 0 -> 0
240: 0 -> 0
241: 0 -> 0
242: 0 -> 0
243: 0 -> 0
244: 0 -> 0
245: 0 -> 0
246: 0 -> 0
247: 0 -> 0
248: 0 -> 0
249: 0 -> 0
250: 0 -> 0
251: 0 -> 0
252: 0 -> 0
253: 0 -> 0
254: 0 -> 0
255: 0 -> 0
Histogram data for G:
0: 51 -> 80
1: 16 -> 69
2: 19 -> 132
3: 20 -> 194
4: 36 -> 324
5: 37 -> 489
6: 21 -> 607
7: 23 -> 779
8: 14 -> 925
9: 12 -> 1173
10: 15 -> 1312
11: 30 -> 1450
12: 30 -> 1682
13: 28 -> 1681
14: 36 -> 1594
15: 41 -> 1510
16: 41 -> 1417
17: 60 -> 1273
18: 66 -> 1180
19: 103 -> 1052
20: 67 -> 895
21: 79 -> 843
22: 66 -> 731
23: 94 -> 738
24: 77 -> 678
25: 74 -> 621
26: 97 -> 673
27: 128 -> 651
28: 124 -> 668
29: 134 -> 655
30: 144 -> 665
31: 185 -> 756
32: 190 -> 769
33: 213 -> 806
34: 257 -> 894
35: 234 -> 783
36: 281 -> 881
37: 271 -> 854
38: 311 -> 899
39: 362 -> 910
40: 362 -> 926
41: 386 -> 942
42: 382 -> 940
43: 402 -> 943
44: 507 -> 1060
45: 471 -> 1017
46: 524 -> 1112
47: 607 -> 1181
48: 599 -> 1194
49: 649 -> 1279
50: 687 -> 1357
51: 675 -> 1342
52: 735 -> 1485
53: 773 -> 1519
54: 761 -> 1624
55: 878 -> 1747
56: 865 -> 1821
57: 901 -> 1871
58: 912 -> 1951
59: 957 -> 2009
60: 956 -> 2127
61: 1019 -> 2228
62: 1095 -> 2262
63: 1053 -> 2293
64: 1163 -> 2285
65: 1117 -> 2337
66: 1168 -> 2301
67: 1217 -> 2374
68: 1253 -> 2481
69: 1230 -> 2446
70: 1317 -> 2494
71: 1306 -> 2532
72: 1308 -> 2457
73: 1429 -> 2634
74: 1330 -> 2476
75: 1458 -> 2586
76: 1375 -> 2609
77: 1358 -> 2579
78: 1499 -> 2698
79: 1526 -> 2769
80: 1444 -> 2571
81: 1560 -> 2775
82: 1545 -> 2753
83: 1607 -> 2876
84: 1504 -> 2765
85: 1535 -> 2827
86: 1625 -> 2896
87: 1571 -> 2867
88: 1689 -> 2969
89: 1665 -> 2949
90: 1654 -> 2893
91: 1759 -> 3028
92: 1646 -> 3041
93: 1697 -> 3049
94: 1717 -> 3103
95: 1666 -> 2932
96: 1691 -> 3190
97: 1684 -> 3147
98: 1680 -> 3134
99: 1727 -> 3167
100: 1737 -> 3231
101: 1574 -> 2996
102: 1744 -> 3121
103: 1778 -> 3355
104: 1720 -> 3192
105: 1726 -> 3234
106: 1629 -> 3151
107: 1817 -> 3334
108: 1742 -> 3340
109: 1661 -> 3184
110: 1791 -> 3376
111: 1783 -> 3391
112: 1845 -> 3473
113: 1767 -> 3397
114: 1797 -> 3352
115: 1775 -> 3398
116: 1721 -> 3344
117: 1681 -> 3296
118: 1812 -> 3441
119: 1698 -> 3248
120: 1712 -> 3414
121: 1709 -> 1626
122: 1712 -> 1672
123: 1763 -> 1601
124: 1692 -> 1713
125: 1724 -> 1642
126: 1649 -> 1665
127: 1521 -> 1674
128: 1674 -> 1521
129: 1665 -> 1649
130: 1642 -> 1724
131: 1713 -> 1692
132: 1601 -> 1763
133: 1672 -> 1712
134: 1626 -> 1709
135: 1702 -> 0
136: 1550 -> 0
137: 1629 -> 0
138: 1615 -> 0
139: 1623 -> 0
140: 1623 -> 0
141: 1555 -> 0
142: 1630 -> 0
143: 1628 -> 0
144: 1608 -> 0
145: 1585 -> 0
146: 1523 -> 0
147: 1598 -> 0
148: 1517 -> 0
149: 1522 -> 0
150: 1508 -> 0
151: 1472 -> 0
152: 1577 -> 0
153: 1377 -> 0
154: 1422 -> 0
155: 1494 -> 0
156: 1440 -> 0
157: 1454 -> 0
158: 1463 -> 0
159: 1499 -> 0
160: 1266 -> 0
161: 1386 -> 0
162: 1352 -> 0
163: 1395 -> 0
164: 1269 -> 0
165: 1239 -> 0
166: 1284 -> 0
167: 1280 -> 0
168: 1296 -> 0
169: 1271 -> 0
170: 1292 -> 0
171: 1261 -> 0
172: 1269 -> 0
173: 1208 -> 0
174: 1215 -> 0
175: 1127 -> 0
176: 1243 -> 0
177: 1199 -> 0
178: 1221 -> 0
179: 1234 -> 0
180: 1128 -> 0
181: 1146 -> 0
182: 1205 -> 0
183: 1149 -> 0
184: 1226 -> 0
185: 1177 -> 0
186: 1216 -> 0
187: 1228 -> 0
188: 1157 -> 0
189: 1133 -> 0
190: 1220 -> 0
191: 1122 -> 0
192: 1240 -> 0
193: 1167 -> 0
194: 1209 -> 0
195: 1171 -> 0
196: 1052 -> 0
197: 1039 -> 0
198: 970 -> 0
199: 956 -> 0
200: 869 -> 0
201: 863 -> 0
202: 746 -> 0
203: 750 -> 0
204: 667 -> 0
205: 670 -> 0
206: 630 -> 0
207: 595 -> 0
208: 574 -> 0
209: 588 -> 0
210: 546 -> 0
211: 553 -> 0
212: 541 -> 0
213: 558 -> 0
214: 556 -> 0
215: 564 -> 0
216: 548 -> 0
217: 588 -> 0
218: 583 -> 0
219: 600 -> 0
220: 549 -> 0
221: 637 -> 0
222: 593 -> 0
223: 579 -> 0
224: 571 -> 0
225: 521 -> 0
226: 521 -> 0
227: 544 -> 0
228: 523 -> 0
229: 576 -> 0
230: 547 -> 0
231: 601 -> 0
232: 644 -> 0
233: 665 -> 0
234: 764 -> 0
235: 828 -> 0
236: 949 -> 0
237: 1114 -> 0
238: 1213 -> 0
239: 1376 -> 0
240: 1469 -> 0
241: 1558 -> 0
242: 1653 -> 0
243: 1652 -> 0
244: 1420 -> 0
245: 1297 -> 0
246: 1161 -> 0
247: 911 -> 0
248: 756 -> 0
249: 586 -> 0
250: 452 -> 0
251: 288 -> 0
252: 174 -> 0
253: 113 -> 0
254: 53 -> 0
255: 29 -> 0
Histogram data for R:
0: 69 -> 71
1: 26 -> 27
2: 38 -> 52
3: 54 -> 77
4: 55 -> 86
5: 84 -> 163
6: 106 -> 203
7: 117 -> 278
8: 117 -> 338
9: 151 -> 420
10: 196 -> 487
11: 225 -> 599
12: 225 -> 640
13: 258 -> 771
14: 291 -> 790
15: 334 -> 964
16: 349 -> 916
17: 394 -> 1048
18: 419 -> 1061
19: 466 -> 1184
20: 473 -> 1113
21: 512 -> 1283
22: 545 -> 1373
23: 633 -> 1629
24: 593 -> 1590
25: 674 -> 1925
26: 743 -> 1941
27: 796 -> 2225
28: 812 -> 2111
29: 862 -> 2224
30: 863 -> 2210
31: 998 -> 2554
32: 1024 -> 2314
33: 1089 -> 2439
34: 1103 -> 2322
35: 1147 -> 2383
36: 1201 -> 2175
37: 1236 -> 2181
38: 1341 -> 2162
39: 1395 -> 2194
40: 1360 -> 2020
41: 1399 -> 2027
42: 1451 -> 2014
43: 1607 -> 2086
44: 1600 -> 2033
45: 1688 -> 2136
46: 1736 -> 2175
47: 1776 -> 2242
48: 1874 -> 2286
49: 1831 -> 2254
50: 1791 -> 2220
51: 1911 -> 2361
52: 1897 -> 2363
53: 1922 -> 2394
54: 1950 -> 2419
55: 1818 -> 2292
56: 1995 -> 2459
57: 2028 -> 2560
58: 2049 -> 2518
59: 1957 -> 2510
60: 2063 -> 2580
61: 1884 -> 2406
62: 2047 -> 2572
63: 2081 -> 2656
64: 2038 -> 2591
65: 2034 -> 2639
66: 1948 -> 2547
67: 1859 -> 2494
68: 1909 -> 2521
69: 1898 -> 2500
70: 2038 -> 2684
71: 1972 -> 2617
72: 1861 -> 2458
73: 1941 -> 2617
74: 1898 -> 2504
75: 1901 -> 2534
76: 1986 -> 2614
77: 1847 -> 2478
78: 1860 -> 2527
79: 1813 -> 2509
80: 1832 -> 2459
81: 1764 -> 2494
82: 1805 -> 2522
83: 1763 -> 2547
84: 1783 -> 2455
85: 1742 -> 2453
86: 1834 -> 2582
87: 1710 -> 2436
88: 1809 -> 2529
89: 1683 -> 2487
90: 1673 -> 2409
91: 1674 -> 2466
92: 1790 -> 2504
93: 1608 -> 2398
94: 1783 -> 2585
95: 1642 -> 2496
96: 1696 -> 2570
97: 1581 -> 2412
98: 1535 -> 2382
99: 1539 -> 2410
100: 1553 -> 2393
101: 1438 -> 2331
102: 1456 -> 2303
103: 1458 -> 2421
104: 1456 -> 2329
105: 1458 -> 2364
106: 1422 -> 2309
107: 1431 -> 2391
108: 1447 -> 2415
109: 1342 -> 2294
110: 1372 -> 2321
111: 1319 -> 2295
112: 1491 -> 2452
113: 1336 -> 2349
114: 1312 -> 2325
115: 1375 -> 2351
116: 1320 -> 2339
117: 1232 -> 2244
118: 1371 -> 2390
119: 1197 -> 2240
120: 1306 -> 2359
121: 1283 -> 1093
122: 1264 -> 1059
123: 1177 -> 1150
124: 1262 -> 1110
125: 1123 -> 1147
126: 1221 -> 1114
127: 1211 -> 1179
128: 1179 -> 1211
129: 1114 -> 1221
130: 1147 -> 1123
131: 1110 -> 1262
132: 1150 -> 1177
133: 1059 -> 1264
134: 1093 -> 1283
135: 1053 -> 0
136: 1043 -> 0
137: 1019 -> 0
138: 1012 -> 0
139: 1019 -> 0
140: 976 -> 0
141: 1013 -> 0
142: 1013 -> 0
143: 961 -> 0
144: 976 -> 0
145: 949 -> 0
146: 952 -> 0
147: 968 -> 0
148: 960 -> 0
149: 887 -> 0
150: 906 -> 0
151: 873 -> 0
152: 963 -> 0
153: 847 -> 0
154: 893 -> 0
155: 840 -> 0
156: 871 -> 0
157: 847 -> 0
158: 831 -> 0
159: 874 -> 0
160: 854 -> 0
161: 802 -> 0
162: 790 -> 0
163: 714 -> 0
164: 792 -> 0
165: 736 -> 0
166: 804 -> 0
167: 720 -> 0
168: 726 -> 0
169: 748 -> 0
170: 711 -> 0
171: 672 -> 0
172: 784 -> 0
173: 717 -> 0
174: 730 -> 0
175: 627 -> 0
176: 696 -> 0
177: 667 -> 0
178: 631 -> 0
179: 628 -> 0
180: 633 -> 0
181: 606 -> 0
182: 676 -> 0
183: 597 -> 0
184: 645 -> 0
185: 646 -> 0
186: 602 -> 0
187: 612 -> 0
188: 635 -> 0
189: 599 -> 0
190: 605 -> 0
191: 553 -> 0
192: 575 -> 0
193: 525 -> 0
194: 522 -> 0
195: 517 -> 0
196: 553 -> 0
197: 469 -> 0
198: 532 -> 0
199: 464 -> 0
200: 474 -> 0
201: 469 -> 0
202: 472 -> 0
203: 466 -> 0
204: 450 -> 0
205: 429 -> 0
206: 423 -> 0
207: 412 -> 0
208: 466 -> 0
209: 439 -> 0
210: 448 -> 0
211: 433 -> 0
212: 479 -> 0
213: 563 -> 0
214: 628 -> 0
215: 660 -> 0
216: 799 -> 0
217: 821 -> 0
218: 945 -> 0
219: 974 -> 0
220: 1236 -> 0
221: 1219 -> 0
222: 1350 -> 0
223: 1290 -> 0
224: 1556 -> 0
225: 1347 -> 0
226: 1362 -> 0
227: 1299 -> 0
228: 1429 -> 0
229: 1198 -> 0
230: 1251 -> 0
231: 997 -> 0
232: 996 -> 0
233: 828 -> 0
234: 771 -> 0
235: 640 -> 0
236: 718 -> 0
237: 642 -> 0
238: 654 -> 0
239: 567 -> 0
240: 630 -> 0
241: 499 -> 0
242: 513 -> 0
243: 415 -> 0
244: 374 -> 0
245: 291 -> 0
246: 269 -> 0
247: 221 -> 0
248: 161 -> 0
249: 97 -> 0
250: 79 -> 0
251: 31 -> 0
252: 23 -> 0
253: 14 -> 0
254: 1 -> 0
255: 2 -> 0
