Histogram data for B:
93: 971 -> 1594
94: 1000 -> 1567
95: 1031 -> 1592
96: 989 -> 1596
97: 967 -> 1539
98: 978 -> 1683
99: 1005 -> 1640
100: 922 -> 1554
101: 1017 -> 1666
102: 875 -> 1624
103: 1059 -> 1778
104: 820 -> 1601
105: 855 -> 1649
106: 801 -> 1521
107: 819 -> 1734
108: 791 -> 1572
109: 670 -> 1394
110: 721 -> 1427
111: 609 -> 1341
112: 632 -> 1464
113: 561 -> 1325
114: 567 -> 1284
115: 555 -> 1212
116: 577 -> 1404
117: 528 -> 1210
118: 518 -> 1178
119: 497 -> 1127
120: 544 -> 1108
121: 534 -> 678
122: 513 -> 632
123: 547 -> 534
124: 488 -> 516
125: 588 -> 596
126: 507 -> 580
127: 538 -> 517
128: 517 -> 538
129: 580 -> 507
130: 596 -> 588
131: 516 -> 488
132: 534 -> 547
133: 632 -> 513
134: 678 -> 534
135: 564 -> 0
136: 630 -> 0
137: 660 -> 0
138: 682 -> 0
139: 827 -> 0
140: 657 -> 0
141: 717 -> 0
142: 764 -> 0
143: 832 -> 0
144: 732 -> 0
145: 706 -> 0
146: 724 -> 0
147: 781 -> 0
148: 915 -> 0
149: 720 -> 0
150: 794 -> 0
151: 781 -> 0
152: 719 -> 0
153: 749 -> 0
154: 649 -> 0
155: 632 -> 0
156: 635 -> 0
157: 705 -> 0
158: 572 -> 0
159: 607 -> 0
160: 561 -> 0
161: 567 -> 0
162: 623 -> 0
163: 513 -> 0
164: 550 -> 0
165: 613 -> 0
166: 612 -> 0
167: 499 -> 0
168: 526 -> 0
169: 514 -> 0
170: 553 -> 0
171: 591 -> 0
172: 513 -> 0
173: 549 -> 0
174: 523 -> 0
175: 605 -> 0
176: 533 -> 0
177: 540 -> 0
178: 509 -> 0
179: 520 -> 0
180: 559 -> 0
181: 511 -> 0
182: 523 -> 0
183: 506 -> 0
184: 571 -> 0
185: 512 -> 0
186: 499 -> 0
187: 518 -> 0
188: 510 -> 0
189: 578 -> 0
190: 574 -> 0
191: 459 -> 0
192: 529 -> 0
193: 561 -> 0
194: 533 -> 0
195: 472 -> 0
196: 476 -> 0
197: 509 -> 0
198: 480 -> 0
199: 512 -> 0
200: 432 -> 0
201: 503 -> 0
202: 492 -> 0
203: 532 -> 0
204: 454 -> 0
205: 521 -> 0
206: 485 -> 0
207: 461 -> 0
208: 547 -> 0
209: 428 -> 0
210: 465 -> 0
211: 422 -> 0
212: 482 -> 0
213: 450 -> 0
214: 436 -> 0
215: 429 -> 0
216: 435 -> 0
217: 517 -> 0
218: 466 -> 0
219: 404 -> 0
220: 437 -> 0
221: 478 -> 0
222: 463 -> 0
223: 396 -> 0
224: 426 -> 0
225: 380 -> 0
226: 403 -> 0
227: 403 -> 0
228: 406 -> 0
229: 417 -> 0
230: 338 -> 0
231: 310 -> 0
232: 354 -> 0
233: 295 -> 0
234: 265 -> 0
235: 249 -> 0
236: 246 -> 0
237: 192 -> 0
238: 183 -> 0
239: 174 -> 0
240: 167 -> 0
241: 166 -> 0
242: 150 -> 0
243: 154 -> 0
244: 130 -> 0
245: 155 -> 0
246: 128 -> 0
247: 160 -> 0
248: 132 -> 0
249: 142 -> 0
250: 152 -> 0
251: 136 -> 0
252: 107 -> 0
253: 141 -> 0
254: 135 -> 0
255: 2247 -> 0
Histogram data for G:
0: 768 -> 2428
1: 0 -> 67
2: 0 -> 63
3: 0 -> 80
4: 0 -> 98
5: 0 -> 108
6: 0 -> 72
7: 0 -> 100
8: 0 -> 93
9: 0 -> 90
10: 0 -> 124
11: 0 -> 118
12: 1 -> 131
13: 0 -> 149
14: 0 -> 184
15: 3 -> 180
16: 2 -> 214
17: 5 -> 266
18: 3 -> 226
19: 9 -> 243
20: 21 -> 289
21: 31 -> 307
22: 50 -> 290
23: 82 -> 345
24: 112 -> 395
25: 97 -> 403
26: 170 -> 458
27: 181 -> 511
28: 182 -> 566
29: 131 -> 476
30: 162 -> 581
31: 213 -> 631
32: 205 -> 644
33: 322 -> 756
34: 453 -> 899
35: 670 -> 1142
36: 1103 -> 1574
37: 1445 -> 1988
38: 1917 -> 2452
39: 2218 -> 2732
40: 2380 -> 2918
41: 2410 -> 2928
42: 3073 -> 3685
43: 2977 -> 3533
44: 3007 -> 3653
45: 2925 -> 3599
46: 2821 -> 3563
47: 3070 -> 3842
48: 3099 -> 3850
49: 3139 -> 4014
50: 3567 -> 4580
51: 3544 -> 4583
52: 3432 -> 4435
53: 3825 -> 4943
54: 3770 -> 5016
55: 4018 -> 5195
56: 3324 -> 4582
57: 3782 -> 5075
58: 4328 -> 5612
59: 4709 -> 6087
60: 3492 -> 4857
61: 3661 -> 5113
62: 3019 -> 4380
63: 2767 -> 4046
64: 2932 -> 4170
65: 2541 -> 3742
66: 2188 -> 3384
67: 2267 -> 3482
68: 2026 -> 3221
69: 2014 -> 3215
70: 1993 -> 3081
71: 1828 -> 2960
72: 1654 -> 2766
73: 1768 -> 2774
74: 1836 -> 2901
75: 1783 -> 2770
76: 1986 -> 3061
77: 2136 -> 3118
78: 1981 -> 2876
79: 2425 -> 3353
80: 2300 -> 3170
81: 2419 -> 3310
82: 2687 -> 3507
83: 2445 -> 3252
84: 2667 -> 3508
85: 3172 -> 3909
86: 3099 -> 3847
87: 3090 -> 3847
88: 4149 -> 4941
89: 4219 -> 4975
90: 4066 -> 4873
91: 3992 -> 4829
92: 4994 -> 5855
93: 5105 -> 5974
94: 3946 -> 4812
95: 4455 -> 5363
96: 4446 -> 5478
97: 3725 -> 4859
98: 3885 -> 5040
99: 3746 -> 5038
100: 3520 -> 4921
101: 2733 -> 4109
102: 2869 -> 4610
103: 2794 -> 4535
104: 2578 -> 4395
105: 2372 -> 4466
106: 2399 -> 4398
107: 2209 -> 4145
108: 1904 -> 4167
109: 1878 -> 4137
110: 1938 -> 4298
111: 1794 -> 4185
112: 2039 -> 4886
113: 1896 -> 4517
114: 2001 -> 4506
115: 1899 -> 4441
116: 1921 -> 4377
117: 1925 -> 4106
118: 1926 -> 4031
119: 1949 -> 3879
120: 1992 -> 3991
121: 2217 -> 1988
122: 2310 -> 1980
123: 2621 -> 2199
124: 2574 -> 2460
125: 2466 -> 2552
126: 2849 -> 2733
127: 2788 -> 2556
128: 2556 -> 2788
129: 2733 -> 2849
130: 2552 -> 2466
131: 2460 -> 2574
132: 2199 -> 2621
133: 1980 -> 2310
134: 1988 -> 2217
135: 1999 -> 0
136: 1930 -> 0
137: 2105 -> 0
138: 2181 -> 0
139: 2456 -> 0
140: 2542 -> 0
141: 2505 -> 0
142: 2621 -> 0
143: 2847 -> 0
144: 2391 -> 0
145: 2360 -> 0
146: 2259 -> 0
147: 2263 -> 0
148: 1936 -> 0
149: 1999 -> 0
150: 2094 -> 0
151: 1817 -> 0
152: 1741 -> 0
153: 1741 -> 0
154: 1376 -> 0
155: 1401 -> 0
156: 1292 -> 0
157: 1155 -> 0
158: 1134 -> 0
159: 1032 -> 0
160: 908 -> 0
161: 866 -> 0
162: 869 -> 0
163: 861 -> 0
164: 837 -> 0
165: 807 -> 0
166: 756 -> 0
167: 792 -> 0
168: 757 -> 0
169: 748 -> 0
170: 737 -> 0
171: 841 -> 0
172: 807 -> 0
173: 820 -> 0
174: 891 -> 0
175: 870 -> 0
176: 928 -> 0
177: 895 -> 0
178: 982 -> 0
179: 1075 -> 0
180: 987 -> 0
181: 1065 -> 0
182: 1006 -> 0
183: 1112 -> 0
184: 1132 -> 0
185: 1088 -> 0
186: 1201 -> 0
187: 1195 -> 0
188: 1215 -> 0
189: 1196 -> 0
190: 1201 -> 0
191: 1238 -> 0
192: 1279 -> 0
193: 1361 -> 0
194: 1452 -> 0
195: 1365 -> 0
196: 1378 -> 0
197: 1284 -> 0
198: 1293 -> 0
199: 1258 -> 0
200: 1177 -> 0
201: 1246 -> 0
202: 1118 -> 0
203: 1003 -> 0
204: 1039 -> 0
205: 1013 -> 0
206: 875 -> 0
207: 751 -> 0
208: 772 -> 0
209: 742 -> 0
210: 674 -> 0
211: 646 -> 0
212: 556 -> 0
213: 612 -> 0
214: 518 -> 0
215: 538 -> 0
216: 514 -> 0
217: 535 -> 0
218: 543 -> 0
219: 471 -> 0
220: 472 -> 0
221: 446 -> 0
222: 434 -> 0
223: 439 -> 0
224: 418 -> 0
225: 419 -> 0
226: 345 -> 0
227: 384 -> 0
228: 330 -> 0
229: 288 -> 0
230: 306 -> 0
231: 283 -> 0
232: 263 -> 0
233: 240 -> 0
234: 276 -> 0
235: 268 -> 0
236: 234 -> 0
237: 223 -> 0
238: 261 -> 0
239: 212 -> 0
240: 177 -> 0
241: 184 -> 0
242: 149 -> 0
243: 130 -> 0
244: 118 -> 0
245: 124 -> 0
246: 90 -> 0
247: 93 -> 0
248: 100 -> 0
249: 72 -> 0
250: 108 -> 0
251: 98 -> 0
252: 80 -> 0
253: 63 -> 0
254: 67 -> 0
255: 1660 -> 0
Histogram data for R:
0: 768 -> 7727
1: 0 -> 723
2: 0 -> 928
3: 0 -> 737
4: 0 -> 744
5: 0 -> 819
6: 0 -> 684
7: 0 -> 870
8: 0 -> 795
9: 0 -> 767
10: 0 -> 829
11: 0 -> 808
12: 0 -> 973
13: 0 -> 922
14: 0 -> 1014
15: 0 -> 914
16: 2 -> 913
17: 2 -> 1038
18: 2 -> 1013
19: 2 -> 997
20: 1 -> 1110
21: 3 -> 1001
22: 6 -> 1194
23: 12 -> 1195
24: 28 -> 1169
25: 5 -> 1260
26: 53 -> 1110
27: 109 -> 1463
28: 118 -> 1279
29: 19 -> 1123
30: 106 -> 1357
31: 75 -> 1184
32: 52 -> 1121
33: 108 -> 1065
34: 104 -> 1253
35: 108 -> 1135
36: 111 -> 945
37: 318 -> 1179
38: 450 -> 1431
39: 516 -> 1374
40: 442 -> 1276
41: 763 -> 1587
42: 980 -> 1834
43: 1090 -> 1868
44: 627 -> 1630
45: 961 -> 1732
46: 967 -> 1750
47: 1023 -> 1754
48: 1269 -> 2201
49: 1100 -> 2094
50: 1113 -> 1930
51: 1238 -> 2029
52: 1410 -> 2232
53: 1434 -> 2418
54: 1289 -> 2213
55: 1890 -> 2635
56: 2251 -> 3120
57: 2756 -> 3590
58: 2325 -> 3294
59: 2362 -> 3309
60: 2311 -> 3178
61: 3603 -> 4488
62: 3701 -> 4486
63: 3292 -> 4316
64: 2485 -> 3333
65: 4730 -> 5547
66: 4643 -> 5371
67: 4034 -> 4920
68: 2344 -> 3406
69: 2955 -> 3848
70: 2792 -> 3613
71: 3056 -> 3890
72: 2744 -> 3585
73: 2709 -> 3676
74: 3130 -> 3874
75: 3163 -> 3915
76: 3814 -> 4540
77: 2971 -> 3759
78: 3411 -> 4334
79: 3269 -> 4037
80: 4133 -> 4865
81: 4523 -> 5197
82: 3813 -> 4611
83: 3879 -> 4699
84: 4029 -> 4714
85: 5153 -> 5805
86: 4641 -> 5380
87: 4139 -> 4988
88: 3796 -> 4709
89: 4278 -> 5006
90: 4515 -> 5341
91: 4459 -> 5240
92: 3409 -> 4465
93: 4160 -> 5101
94: 5220 -> 6123
95: 3859 -> 4739
96: 5136 -> 6016
97: 3805 -> 5031
98: 4229 -> 5425
99: 4276 -> 5379
100: 3838 -> 4910
101: 4662 -> 5796
102: 4578 -> 6208
103: 4196 -> 5562
104: 4172 -> 5370
105: 4564 -> 5807
106: 4219 -> 5516
107: 2916 -> 4574
108: 3327 -> 4712
109: 3563 -> 4854
110: 3659 -> 4949
111: 2523 -> 3828
112: 3207 -> 4828
113: 2590 -> 3886
114: 2642 -> 3995
115: 2536 -> 3707
116: 2282 -> 3675
117: 1856 -> 3422
118: 2199 -> 3506
119: 1985 -> 3130
120: 1847 -> 2968
121: 1417 -> 1396
122: 1817 -> 1537
123: 1768 -> 1192
124: 1527 -> 1241
125: 1527 -> 1284
126: 1369 -> 1404
127: 1421 -> 1504
128: 1504 -> 1421
129: 1404 -> 1369
130: 1284 -> 1527
131: 1241 -> 1527
132: 1192 -> 1768
133: 1537 -> 1817
134: 1396 -> 1417
135: 1121 -> 0
136: 1145 -> 0
137: 1307 -> 0
138: 1566 -> 0
139: 1393 -> 0
140: 1171 -> 0
141: 1353 -> 0
142: 1296 -> 0
143: 1621 -> 0
144: 1305 -> 0
145: 1290 -> 0
146: 1291 -> 0
147: 1385 -> 0
148: 1658 -> 0
149: 1297 -> 0
150: 1243 -> 0
151: 1198 -> 0
152: 1366 -> 0
153: 1630 -> 0
154: 1134 -> 0
155: 1072 -> 0
156: 1103 -> 0
157: 1196 -> 0
158: 1226 -> 0
159: 880 -> 0
160: 880 -> 0
161: 903 -> 0
162: 941 -> 0
163: 1056 -> 0
164: 781 -> 0
165: 826 -> 0
166: 728 -> 0
167: 913 -> 0
168: 849 -> 0
169: 739 -> 0
170: 652 -> 0
171: 685 -> 0
172: 820 -> 0
173: 798 -> 0
174: 674 -> 0
175: 732 -> 0
176: 768 -> 0
177: 923 -> 0
178: 788 -> 0
179: 726 -> 0
180: 752 -> 0
181: 744 -> 0
182: 967 -> 0
183: 841 -> 0
184: 834 -> 0
185: 821 -> 0
186: 893 -> 0
187: 1062 -> 0
188: 886 -> 0
189: 728 -> 0
190: 817 -> 0
191: 848 -> 0
192: 1024 -> 0
193: 785 -> 0
194: 885 -> 0
195: 867 -> 0
196: 947 -> 0
197: 969 -> 0
198: 834 -> 0
199: 869 -> 0
200: 745 -> 0
201: 924 -> 0
202: 984 -> 0
203: 822 -> 0
204: 791 -> 0
205: 817 -> 0
206: 994 -> 0
207: 932 -> 0
208: 731 -> 0
209: 783 -> 0
210: 771 -> 0
211: 1003 -> 0
212: 778 -> 0
213: 854 -> 0
214: 824 -> 0
215: 834 -> 0
216: 858 -> 0
217: 981 -> 0
218: 861 -> 0
219: 834 -> 0
220: 1027 -> 0
221: 1149 -> 0
222: 957 -> 0
223: 1069 -> 0
224: 1109 -> 0
225: 1251 -> 0
226: 1104 -> 0
227: 1161 -> 0
228: 1354 -> 0
229: 1057 -> 0
230: 1255 -> 0
231: 1141 -> 0
232: 1183 -> 0
233: 1188 -> 0
234: 998 -> 0
235: 1109 -> 0
236: 995 -> 0
237: 1011 -> 0
238: 1036 -> 0
239: 911 -> 0
240: 914 -> 0
241: 1014 -> 0
242: 922 -> 0
243: 973 -> 0
244: 808 -> 0
245: 829 -> 0
246: 767 -> 0
247: 795 -> 0
248: 870 -> 0
249: 684 -> 0
250: 819 -> 0
251: 744 -> 0
252: 737 -> 0
253: 928 -> 0
254: 723 -> 0
255: 6959 -> 0
