Histogram data for B:
56: 1 -> 2056
57: 1 -> 1929
58: 1 -> 1957
59: 8 -> 1822
60: 6 -> 1985
61: 10 -> 1823
62: 9 -> 1905
63: 20 -> 1877
64: 37 -> 1703
65: 32 -> 1689
66: 41 -> 1696
67: 53 -> 1645
68: 74 -> 1553
69: 103 -> 1492
70: 132 -> 1581
71: 179 -> 1616
72: 193 -> 1602
73: 242 -> 1725
74: 238 -> 1715
75: 336 -> 1777
76: 386 -> 2129
77: 404 -> 1986
78: 483 -> 2252
79: 607 -> 2481
80: 628 -> 2404
81: 771 -> 2453
82: 785 -> 2424
83: 1001 -> 2535
84: 1016 -> 2419
85: 1177 -> 2427
86: 1269 -> 2485
87: 1332 -> 2372
88: 1446 -> 2519
89: 1487 -> 2464
90: 1457 -> 2531
91: 1574 -> 2458
92: 1585 -> 2537
93: 1591 -> 2503
94: 1557 -> 2553
95: 1569 -> 2448
96: 1660 -> 2671
97: 1648 -> 2536
98: 1420 -> 2338
99: 1559 -> 2466
100: 1418 -> 2328
101: 1384 -> 2198
102: 1319 -> 2180
103: 1342 -> 2141
104: 1156 -> 1953
105: 1120 -> 1932
106: 955 -> 1732
107: 969 -> 1729
108: 828 -> 1634
109: 782 -> 1526
110: 752 -> 1569
111: 737 -> 1554
112: 719 -> 1491
113: 700 -> 1465
114: 628 -> 1394
115: 673 -> 1417
116: 587 -> 1327
117: 617 -> 1284
118: 610 -> 1325
119: 592 -> 1363
120: 557 -> 1242
121: 593 -> 675
122: 552 -> 667
123: 566 -> 594
124: 582 -> 730
125: 559 -> 618
126: 571 -> 650
127: 520 -> 664
128: 664 -> 520
129: 650 -> 571
130: 618 -> 559
131: 730 -> 582
132: 594 -> 566
133: 667 -> 552
134: 675 -> 593
135: 685 -> 0
136: 771 -> 0
137: 715 -> 0
138: 667 -> 0
139: 740 -> 0
140: 744 -> 0
141: 766 -> 0
142: 765 -> 0
143: 772 -> 0
144: 817 -> 0
145: 817 -> 0
146: 744 -> 0
147: 806 -> 0
148: 760 -> 0
149: 777 -> 0
150: 812 -> 0
151: 797 -> 0
152: 799 -> 0
153: 861 -> 0
154: 814 -> 0
155: 910 -> 0
156: 907 -> 0
157: 918 -> 0
158: 888 -> 0
159: 1011 -> 0
160: 879 -> 0
161: 996 -> 0
162: 912 -> 0
163: 952 -> 0
164: 884 -> 0
165: 1074 -> 0
166: 977 -> 0
167: 1073 -> 0
168: 1040 -> 0
169: 1216 -> 0
170: 1250 -> 0
171: 1403 -> 0
172: 1534 -> 0
173: 1639 -> 0
174: 1682 -> 0
175: 1776 -> 0
176: 1874 -> 0
177: 1769 -> 0
178: 1582 -> 0
179: 1743 -> 0
180: 1441 -> 0
181: 1477 -> 0
182: 1483 -> 0
183: 1409 -> 0
184: 1437 -> 0
185: 1449 -> 0
186: 1389 -> 0
187: 1479 -> 0
188: 1592 -> 0
189: 1655 -> 0
190: 1657 -> 0
191: 1666 -> 0
192: 1857 -> 0
193: 1896 -> 0
194: 1813 -> 0
195: 1979 -> 0
196: 1814 -> 0
197: 1956 -> 0
198: 1928 -> 0
199: 2055 -> 0
200: 2012 -> 0
201: 2303 -> 0
202: 2333 -> 0
203: 2670 -> 0
204: 2787 -> 0
205: 3232 -> 0
206: 3154 -> 0
207: 3476 -> 0
208: 3424 -> 0
209: 3516 -> 0
210: 3102 -> 0
211: 3176 -> 0
212: 2787 -> 0
213: 2885 -> 0
214: 2630 -> 0
215: 2731 -> 0
216: 2664 -> 0
217: 2955 -> 0
218: 2955 -> 0
219: 3360 -> 0
220: 3554 -> 0
221: 4138 -> 0
222: 3987 -> 0
223: 4057 -> 0
224: 4327 -> 0
225: 3713 -> 0
226: 3185 -> 0
227: 2929 -> 0
228: 2551 -> 0
229: 2432 -> 0
230: 2195 -> 0
231: 2256 -> 0
232: 1960 -> 0
233: 2126 -> 0
234: 2186 -> 0
235: 2265 -> 0
236: 2417 -> 0
237: 2445 -> 0
238: 2282 -> 0
239: 1826 -> 0
240: 1972 -> 0
241: 1456 -> 0
242: 1137 -> 0
243: 986 -> 0
244: 748 -> 0
245: 749 -> 0
246: 667 -> 0
247: 582 -> 0
248: 428 -> 0
249: 357 -> 0
250: 313 -> 0
251: 302 -> 0
252: 242 -> 0
253: 178 -> 0
254: 67 -> 0
255: 112 -> 0
Histogram data for R:
0: 0 -> 0
1: 0 -> 0
2: 0 -> 0
3: 0 -> 0
4: 0 -> 0
5: 0 -> 0
6: 0 -> 0
7: 0 -> 0
8: 7 -> 7
9: 0 -> 0
10: 0 -> 0
11: 0 -> 0
12: 1 -> 1
13: 0 -> 0
14: 0 -> 0
15: 0 -> 0
16: 0 -> 0
17: 0 -> 0
18: 0 -> 0
19: 0 -> 0
20: 0 -> 0
21: 0 -> 0
22: 0 -> 0
23: 0 -> 0
24: 0 -> 0
25: 0 -> 0
26: 0 -> 0
27: 0 -> 0
28: 0 -> 0
29: 0 -> 0
30: 0 -> 1
31: 0 -> 1
32: 0 -> 3
33: 0 -> 0
34: 0 -> 0
35: 0 -> 0
36: 0 -> 1
37: 0 -> 2
38: 0 -> 4
39: 0 -> 7
40: 0 -> 8
41: 3 -> 21
42: 2 -> 26
43: 7 -> 26
44: 14 -> 37
45: 24 -> 51
46: 46 -> 76
47: 67 -> 104
48: 108 -> 164
49: 137 -> 198
50: 254 -> 321
51: 347 -> 414
52: 483 -> 574
53: 626 -> 701
54: 785 -> 893
55: 1135 -> 1244
56: 1262 -> 1414
57: 1631 -> 1797
58: 1756 -> 1939
59: 2201 -> 2392
60: 2355 -> 2574
61: 2514 -> 2788
62: 2767 -> 3097
63: 2943 -> 3240
64: 2958 -> 3351
65: 2921 -> 3342
66: 2876 -> 3347
67: 2907 -> 3432
68: 2869 -> 3380
69: 2873 -> 3453
70: 2899 -> 3482
71: 3043 -> 3618
72: 2919 -> 3518
73: 3041 -> 3621
74: 3107 -> 3759
75: 3238 -> 3870
76: 3224 -> 3865
77: 3140 -> 3773
78: 3218 -> 3847
79: 3189 -> 3863
80: 3004 -> 3677
81: 3030 -> 3755
82: 3078 -> 3799
83: 3008 -> 3754
84: 2787 -> 3571
85: 2834 -> 3631
86: 2960 -> 3762
87: 2962 -> 3759
88: 2940 -> 3837
89: 2911 -> 3730
90: 2949 -> 3758
91: 3107 -> 3937
92: 2983 -> 3907
93: 2922 -> 3823
94: 3045 -> 3969
95: 3017 -> 3854
96: 2738 -> 3710
97: 2826 -> 3793
98: 2700 -> 3580
99: 2818 -> 3662
100: 2710 -> 3578
101: 2618 -> 3532
102: 2559 -> 3422
103: 2777 -> 3615
104: 2611 -> 3500
105: 2643 -> 3400
106: 2597 -> 3367
107: 2582 -> 3378
108: 2622 -> 3423
109: 2560 -> 3351
110: 2538 -> 3408
111: 2558 -> 3359
112: 2531 -> 3380
113: 2517 -> 3325
114: 2660 -> 3526
115: 2641 -> 3480
116: 2756 -> 3661
117: 2867 -> 3741
118: 2872 -> 3887
119: 3066 -> 4093
120: 2912 -> 4058
121: 3011 -> 1237
122: 2813 -> 1331
123: 2909 -> 1499
124: 2780 -> 1756
125: 2745 -> 1854
126: 2527 -> 1984
127: 2097 -> 2202
128: 2202 -> 2097
129: 1984 -> 2527
130: 1854 -> 2745
131: 1756 -> 2780
132: 1499 -> 2909
133: 1331 -> 2813
134: 1237 -> 3011
135: 1146 -> 0
136: 1027 -> 0
137: 1015 -> 0
138: 874 -> 0
139: 905 -> 0
140: 839 -> 0
141: 866 -> 0
142: 808 -> 0
143: 849 -> 0
144: 801 -> 0
145: 870 -> 0
146: 791 -> 0
147: 801 -> 0
148: 796 -> 0
149: 770 -> 0
150: 757 -> 0
151: 889 -> 0
152: 838 -> 0
153: 863 -> 0
154: 914 -> 0
155: 868 -> 0
156: 844 -> 0
157: 880 -> 0
158: 967 -> 0
159: 972 -> 0
160: 837 -> 0
161: 924 -> 0
162: 901 -> 0
163: 924 -> 0
164: 830 -> 0
165: 809 -> 0
166: 819 -> 0
167: 897 -> 0
168: 797 -> 0
169: 802 -> 0
170: 797 -> 0
171: 784 -> 0
172: 746 -> 0
173: 721 -> 0
174: 725 -> 0
175: 673 -> 0
176: 674 -> 0
177: 629 -> 0
178: 633 -> 0
179: 641 -> 0
180: 632 -> 0
181: 652 -> 0
182: 580 -> 0
183: 599 -> 0
184: 575 -> 0
185: 583 -> 0
186: 580 -> 0
187: 511 -> 0
188: 525 -> 0
189: 471 -> 0
190: 421 -> 0
191: 393 -> 0
192: 297 -> 0
193: 330 -> 0
194: 274 -> 0
195: 219 -> 0
196: 191 -> 0
197: 183 -> 0
198: 166 -> 0
199: 152 -> 0
200: 109 -> 0
201: 108 -> 0
202: 75 -> 0
203: 91 -> 0
204: 67 -> 0
205: 67 -> 0
206: 61 -> 0
207: 56 -> 0
208: 37 -> 0
209: 30 -> 0
210: 27 -> 0
211: 23 -> 0
212: 19 -> 0
213: 24 -> 0
214: 18 -> 0
215: 8 -> 0
216: 7 -> 0
217: 4 -> 0
218: 2 -> 0
219: 1 -> 0
220: 0 -> 0
221: 0 -> 0
222: 0 -> 0
223: 3 -> 0
224: 1 -> 0
225: 1 -> 0
226: 0 -> 0
227: 0 -> 0
228: 0 -> 0
229: 0 -> 0
230: 0 -> 0
231: 0 -> 0
232: 0 -> 0
233: 0 -> 0
234: 0 -> 0
235: 0 -> 0
236: 0 -> 0
237: 0 -> 0
238: 0 -> 0
239: 0 -> 0
240: 0 -> 0
241: 0 -> 0
242: 0 -> 0
243: 0 -> 0
244: 0 -> 0
245: 0 -> 0
246: 0 -> 0
247: 0 -> 0
248: 0 -> 0
249: 0 -> 0
250: 0 -> 0
251: 0 -> 0
252: 0 -> 0
253: 0 -> 0
254: 0 -> 0
255: 0 -> 0
