Histogram data for B:
223: 31 -> 0
224: 16 -> 0
225: 3 -> 0
226: 3 -> 0
227: 2 -> 0
228: 1 -> 0
229: 1 -> 0
230: 0 -> 0
231: 0 -> 0
232: 0 -> 0
233: 0 -> 0
234: 0 -> 0
235: 0 -> 0
236: 0 -> 0
237: 0 -> 0
238: 0 -> 0
239: 0 -> 0
240: 0 -> 0
241: 0 -> 0
242: 0 -> 0
243: 0 -> 0
244: 0 -> 0
245: 0 -> 0
246: 0 -> 0
247: 0 -> 0
248: 0 -> 0
249: 0 -> 0
250: 0 -> 0
251: 0 -> 0
252: 0 -> 0
253: 0 -> 0
254: 0 -> 0
255: 0 -> 0
Histogram data for G:
0: 15694 -> 15694
1: 938 -> 938
2: 846 -> 846
3: 940 -> 940
4: 810 -> 810
5: 819 -> 819
6: 788 -> 788
7: 854 -> 854
8: 845 -> 845
9: 888 -> 888
10: 837 -> 837
11: 930 -> 930
12: 882 -> 882
13: 890 -> 890
14: 911 -> 911
15: 993 -> 993
16: 900 -> 900
17: 961 -> 961
18: 903 -> 905
19: 930 -> 934
20: 906 -> 913
21: 914 -> 925
22: 921 -> 945
23: 947 -> 986
24: 946 -> 1010
25: 1007 -> 1143
26: 1012 -> 1172
27: 1092 -> 1334
28: 1163 -> 1550
29: 1163 -> 1710
30: 1257 -> 1975
31: 1397 -> 2369
32: 1320 -> 2122
33: 1380 -> 2140
34: 1315 -> 2014
35: 1468 -> 2191
36: 1409 -> 2154
37: 1456 -> 2178
38: 1536 -> 2369
39: 1620 -> 2664
40: 1527 -> 2567
41: 1661 -> 2909
42: 1648 -> 3010
43: 1822 -> 3369
44: 1938 -> 3791
45: 1891 -> 3843
46: 1983 -> 4246
47: 2123 -> 4563
48: 2230 -> 4768
49: 2139 -> 4657
50: 2204 -> 4523
51: 2214 -> 4578
52: 2091 -> 4290
53: 2083 -> 4142
54: 2049 -> 4033
55: 1966 -> 3870
56: 1859 -> 3863
57: 1702 -> 3597
58: 1537 -> 3370
59: 1387 -> 3352
60: 1229 -> 3307
61: 1099 -> 3007
62: 965 -> 3011
63: 965 -> 3128
64: 825 -> 2742
65: 720 -> 2610
66: 659 -> 2511
67: 645 -> 2683
68: 606 -> 2547
69: 573 -> 2563
70: 516 -> 2506
71: 568 -> 2716
72: 517 -> 2566
73: 522 -> 2468
74: 512 -> 2469
75: 527 -> 2441
76: 482 -> 2391
77: 486 -> 2294
78: 451 -> 2267
79: 528 -> 2355
80: 478 -> 2029
81: 459 -> 2014
82: 441 -> 1879
83: 477 -> 1949
84: 430 -> 1843
85: 475 -> 1765
86: 457 -> 1746
87: 413 -> 1676
88: 477 -> 1817
89: 462 -> 1695
90: 421 -> 1583
91: 475 -> 1669
92: 411 -> 1645
93: 430 -> 1546
94: 392 -> 1437
95: 457 -> 1578
96: 419 -> 1460
97: 415 -> 1375
98: 432 -> 1369
99: 417 -> 1374
100: 408 -> 1323
101: 404 -> 1291
102: 403 -> 1306
103: 403 -> 1270
104: 435 -> 1201
105: 440 -> 1260
106: 412 -> 1159
107: 429 -> 1160
108: 466 -> 1216
109: 386 -> 1097
110: 422 -> 1108
111: 407 -> 1113
112: 493 -> 1217
113: 490 -> 1125
114: 449 -> 1075
115: 477 -> 1116
116: 475 -> 1130
117: 481 -> 1110
118: 519 -> 1112
119: 487 -> 1097
120: 489 -> 1124
121: 484 -> 545
122: 486 -> 544
123: 527 -> 589
124: 560 -> 634
125: 559 -> 536
126: 515 -> 546
127: 622 -> 586
128: 586 -> 622
129: 546 -> 515
130: 536 -> 559
131: 634 -> 560
132: 589 -> 527
133: 544 -> 486
134: 545 -> 484
135: 635 -> 0
136: 610 -> 0
137: 593 -> 0
138: 629 -> 0
139: 655 -> 0
140: 639 -> 0
141: 626 -> 0
142: 635 -> 0
143: 724 -> 0
144: 706 -> 0
145: 686 -> 0
146: 711 -> 0
147: 750 -> 0
148: 731 -> 0
149: 747 -> 0
150: 820 -> 0
151: 766 -> 0
152: 867 -> 0
153: 903 -> 0
154: 887 -> 0
155: 915 -> 0
156: 957 -> 0
157: 937 -> 0
158: 960 -> 0
159: 1041 -> 0
160: 1121 -> 0
161: 1045 -> 0
162: 1116 -> 0
163: 1234 -> 0
164: 1194 -> 0
165: 1162 -> 0
166: 1233 -> 0
167: 1340 -> 0
168: 1263 -> 0
169: 1289 -> 0
170: 1290 -> 0
171: 1413 -> 0
172: 1472 -> 0
173: 1438 -> 0
174: 1555 -> 0
175: 1551 -> 0
176: 1827 -> 0
177: 1816 -> 0
178: 1808 -> 0
179: 1909 -> 0
180: 1914 -> 0
181: 1957 -> 0
182: 1946 -> 0
183: 2049 -> 0
184: 2148 -> 0
185: 1990 -> 0
186: 1990 -> 0
187: 1941 -> 0
188: 2038 -> 0
189: 1852 -> 0
190: 1890 -> 0
191: 1917 -> 0
192: 2163 -> 0
193: 2046 -> 0
194: 1908 -> 0
195: 2078 -> 0
196: 1965 -> 0
197: 1833 -> 0
198: 1895 -> 0
199: 2004 -> 0
200: 1904 -> 0
201: 1984 -> 0
202: 2059 -> 0
203: 2199 -> 0
204: 2364 -> 0
205: 2319 -> 0
206: 2518 -> 0
207: 2538 -> 0
208: 2440 -> 0
209: 2263 -> 0
210: 1952 -> 0
211: 1853 -> 0
212: 1547 -> 0
213: 1362 -> 0
214: 1248 -> 0
215: 1040 -> 0
216: 1044 -> 0
217: 833 -> 0
218: 722 -> 0
219: 745 -> 0
220: 723 -> 0
221: 699 -> 0
222: 760 -> 0
223: 802 -> 0
224: 972 -> 0
225: 718 -> 0
226: 547 -> 0
227: 387 -> 0
228: 242 -> 0
229: 160 -> 0
230: 136 -> 0
231: 64 -> 0
232: 39 -> 0
233: 24 -> 0
234: 11 -> 0
235: 7 -> 0
236: 4 -> 0
237: 2 -> 0
238: 0 -> 0
239: 0 -> 0
240: 0 -> 0
241: 0 -> 0
242: 0 -> 0
243: 0 -> 0
244: 0 -> 0
245: 0 -> 0
246: 0 -> 0
247: 0 -> 0
248: 0 -> 0
249: 0 -> 0
250: 0 -> 0
251: 0 -> 0
252: 0 -> 0
253: 0 -> 0
254: 0 -> 0
255: 0 -> 0
Histogram data for R:
0: 1 -> 1
1: 1 -> 1
2: 0 -> 0
3: 2 -> 2
4: 2 -> 2
5: 0 -> 0
6: 6 -> 6
7: 6 -> 6
8: 8 -> 8
9: 11 -> 11
10: 12 -> 12
11: 13 -> 13
12: 19 -> 19
13: 29 -> 29
14: 31 -> 31
15: 36 -> 36
16: 45 -> 45
17: 53 -> 53
18: 71 -> 71
19: 70 -> 70
20: 92 -> 92
21: 100 -> 100
22: 104 -> 104
23: 128 -> 128
24: 115 -> 117
25: 141 -> 141
26: 152 -> 152
27: 194 -> 202
28: 231 -> 246
29: 232 -> 267
30: 234 -> 290
31: 275 -> 392
32: 265 -> 405
33: 288 -> 505
34: 280 -> 572
35: 287 -> 749
36: 334 -> 798
37: 298 -> 897
38: 315 -> 971
39: 342 -> 1177
40: 316 -> 1158
41: 335 -> 1363
42: 334 -> 1415
43: 342 -> 1510
44: 387 -> 1762
45: 358 -> 1825
46: 353 -> 2017
47: 305 -> 2174
48: 325 -> 2355
49: 358 -> 2467
50: 378 -> 2639
51: 351 -> 2952
52: 359 -> 3204
53: 363 -> 3414
54: 384 -> 3636
55: 364 -> 3849
56: 363 -> 3795
57: 390 -> 3973
58: 396 -> 3660
59: 366 -> 3433
60: 409 -> 3384
61: 406 -> 3191
62: 419 -> 3209
63: 397 -> 3145
64: 458 -> 2916
65: 408 -> 2851
66: 388 -> 2896
67: 388 -> 2917
68: 388 -> 2591
69: 389 -> 2682
70: 429 -> 2638
71: 412 -> 2772
72: 427 -> 2492
73: 449 -> 2706
74: 395 -> 2476
75: 412 -> 2524
76: 448 -> 2478
77: 400 -> 2421
78: 446 -> 2488
79: 461 -> 2614
80: 497 -> 2318
81: 451 -> 2360
82: 463 -> 2233
83: 513 -> 2348
84: 524 -> 2228
85: 563 -> 2223
86: 541 -> 2212
87: 512 -> 2109
88: 659 -> 2227
89: 587 -> 2127
90: 603 -> 2079
91: 641 -> 2102
92: 698 -> 2257
93: 696 -> 2064
94: 737 -> 2285
95: 712 -> 2282
96: 801 -> 2361
97: 858 -> 2434
98: 874 -> 2451
99: 947 -> 2590
100: 974 -> 2485
101: 1098 -> 2715
102: 1149 -> 2787
103: 1197 -> 2973
104: 1384 -> 3082
105: 1419 -> 3155
106: 1442 -> 3186
107: 1508 -> 3176
108: 1754 -> 3519
109: 1810 -> 3500
110: 1832 -> 3553
111: 1768 -> 3608
112: 2150 -> 3922
113: 2004 -> 3769
114: 2082 -> 3821
115: 2212 -> 3912
116: 2211 -> 3913
117: 2076 -> 3871
118: 2178 -> 3908
119: 2085 -> 3865
120: 2372 -> 4082
121: 2181 -> 1755
122: 2135 -> 1806
123: 2148 -> 1788
124: 2185 -> 1798
125: 2024 -> 1845
126: 2028 -> 1921
127: 1693 -> 2032
128: 2032 -> 1693
129: 1921 -> 2028
130: 1845 -> 2024
131: 1798 -> 2185
132: 1788 -> 2148
133: 1806 -> 2135
134: 1755 -> 2181
135: 1710 -> 0
136: 1780 -> 0
137: 1730 -> 0
138: 1795 -> 0
139: 1702 -> 0
140: 1700 -> 0
141: 1739 -> 0
142: 1765 -> 0
143: 1772 -> 0
144: 1840 -> 0
145: 1721 -> 0
146: 1690 -> 0
147: 1765 -> 0
148: 1668 -> 0
149: 1744 -> 0
150: 1736 -> 0
151: 1698 -> 0
152: 1776 -> 0
153: 1638 -> 0
154: 1617 -> 0
155: 1511 -> 0
156: 1643 -> 0
157: 1577 -> 0
158: 1576 -> 0
159: 1560 -> 0
160: 1570 -> 0
161: 1548 -> 0
162: 1368 -> 0
163: 1559 -> 0
164: 1461 -> 0
165: 1476 -> 0
166: 1540 -> 0
167: 1568 -> 0
168: 1597 -> 0
169: 1671 -> 0
170: 1660 -> 0
171: 1704 -> 0
172: 1835 -> 0
173: 1770 -> 0
174: 1909 -> 0
175: 1821 -> 0
176: 2153 -> 0
177: 2042 -> 0
178: 2021 -> 0
179: 2030 -> 0
180: 2112 -> 0
181: 2081 -> 0
182: 2257 -> 0
183: 2065 -> 0
184: 2360 -> 0
185: 2209 -> 0
186: 2293 -> 0
187: 2203 -> 0
188: 2529 -> 0
189: 2508 -> 0
190: 2443 -> 0
191: 2458 -> 0
192: 2748 -> 0
193: 2790 -> 0
194: 2785 -> 0
195: 2975 -> 0
196: 3067 -> 0
197: 3264 -> 0
198: 3583 -> 0
199: 3432 -> 0
200: 3485 -> 0
201: 3252 -> 0
202: 3051 -> 0
203: 2845 -> 0
204: 2601 -> 0
205: 2261 -> 0
206: 2109 -> 0
207: 2030 -> 0
208: 1869 -> 0
209: 1664 -> 0
210: 1467 -> 0
211: 1375 -> 0
212: 1168 -> 0
213: 1081 -> 0
214: 1028 -> 0
215: 842 -> 0
216: 835 -> 0
217: 656 -> 0
218: 599 -> 0
219: 464 -> 0
220: 462 -> 0
221: 292 -> 0
222: 217 -> 0
223: 140 -> 0
224: 117 -> 0
225: 56 -> 0
226: 35 -> 0
227: 15 -> 0
228: 8 -> 0
229: 0 -> 0
230: 0 -> 0
231: 2 -> 0
232: 0 -> 0
233: 0 -> 0
234: 0 -> 0
235: 0 -> 0
236: 0 -> 0
237: 0 -> 0
238: 0 -> 0
239: 0 -> 0
240: 0 -> 0
241: 0 -> 0
242: 0 -> 0
243: 0 -> 0
244: 0 -> 0
245: 0 -> 0
246: 0 -> 0
247: 0 -> 0
248: 0 -> 0
249: 0 -> 0
250: 0 -> 0
251: 0 -> 0
252: 0 -> 0
253: 0 -> 0
254: 0 -> 0
255: 0 -> 0
